ArtNr,Label,Brand,Size,Material,Form
1171 383.536.000,"Duschenwanne Laufen Pro Superflach 180 x 75 x 4,6 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Schmalseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,180 x 75,Stahl-Email,Rechteckig

1171 373.536.000,"Duschenwanne Laufen Pro Superflach 150 x 70 x 4,2 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Schmalseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,150 x 70,Stahl-Email,Rechteckig

1171 391.536.000,"Duschenwanne Laufen Pro Superflach 160 x 70 x 3,2 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,160 x 70,Stahl-Email,Rechteckig

1171 358.536.000,"Duschenwanne Laufen Pro Superflach 150 x 150 x 4 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,150 x 150,Stahl-Email,Quadratisch

1171 353.536.000,"Duschenwanne Laufen Pro Superflach, 80 x 80 x 2,9 cm, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar, Ablaufloch Ø 90 mm, Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,80 x 80,Stahl-Email,Quadratisch

1171 414.536.000,"Duschenwanne Laufen Pro Superflach, 170 x 90 x 4,6 cm, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar, Ablaufloch Ø 90 mm, Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,170 x 90,Stahl-Email,Rechteckig

1171 382.536.000,"Duschenwanne Laufen Pro Superflach, 170 x 80 x 4,6 cm, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar, Ablaufloch Ø 90 mm, Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,170 x 80,Stahl-Email,Rechteckig

