ArtNr,Label,Brand,Size,Material,Form
1441 051.000.000,"Duschenwannenträger Schedel, 1500 x 900 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 040.000.000,"Duschenwannenträger Schedel, 1300 x 750 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 582.000.000,"Duschenwannenträger Schedel, 900 x 800 x 150 mm, Höhe 305 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 032.000.000,"Duschenwannenträger Schedel, 1100 x 800 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 635.000.000,"Duschenwannenträger Schedel, 800 x 750 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 650.000.000,"Duschenwannenträger Schedel, 1200 x 1000 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 062.000.000,"Duschenwannenträger Schedel, 1800 x 800 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 590.000.000,"Duschenwannenträger Schedel, 900 x 750 x 65 mm, Höhe 170 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 645.000.000,"Duschenwannenträger Schedel, 1100 x 900 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 379.000.000,"Duschenwannenträger Schedel, 1300 x 800 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 613.000.000,"Duschenwannenträger Schedel, 1200 x 700 x 35 mm, Höhe 140 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 346.000.000,"Duschenwannenträger Schedel, 1600 x 1000 x 25 mm, Höhe 130 mm, Kaldewei Cayonoplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 020.000.000,"Duschenwannenträger Schedel, 800 x 800 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 640.000.000,"Duschenwannenträger Schedel, 900 x 900 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 329.000.000,"Duschenwannenträger Schedel, 1000 x 700 x 18 mm, Höhe 130 mm, Kaldewei Cayonoplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 668.000.000,"Duschenwannenträger Schedel, 1700 x 700 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 586.000.000,"Duschenwannenträger Schedel, 1000 x 1000 x 150 mm, Höhe 305 mm, Schmidlin, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,

1441 639.000.000,"Duschenwannenträger Schedel, 900 x 800 x 25 mm, Höhe 140 mm, Kaldewei Superplan, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 397.000.000,"Duschenwannenträger Schedel, 1600 x 1000 x 20 mm, Höhe 140 mm, Kaldewei Superplan Zero, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

1441 057.000.000,"Duschenwannenträger Schedel, 1700 x 750 x 32 mm, Höhe 100 mm, Kaldewei Calima, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,

