ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1424 664.490.000,"Duschrinne Axor Drain, Breite 100 cm, Fertigset bestehend aus Designabdeckung, Installationsset, Dryphon, Ablaufleitstung 55 l/min, integriertes Gefälle, höhenverstellbar Fliesenstärke 7- 18 mm, Montageart: wandangebunden Edelstahloptik",Andere,,,,

1424 661.490.000,"Duschrinne Axor Drain, Breite 70 cm, Fertigset bestehend aus Designabdeckung, Installationsset, Dryphon, Ablaufleitstung 55 l/min, integriertes Gefälle, höhenverstellbar Fliesenstärke 7- 18 mm, Montageart: wandangebunden Edelstahloptik",Andere,,,,

1424 655.490.000,"Duschrinne Axor Drain, Breite 120 cm, Fertigset bestehend aus Designabdeckung, Installationsset, Dryphon, Ablaufleitstung 53 l/min, integriertes Gefälle, höhenverstellbar Fliesenstärke 7- 18 mm, Montageart: frei im Raum Edelstahloptik",Andere,,,,

1424 652.490.000,"Duschrinne Axor Drain, Breite 80 cm, Fertigset bestehend aus Designabdeckung, Installationsset, Dryphon, Ablaufleitstung 53 l/min, integriertes Gefälle, höhenverstellbar Fliesenstärke 7- 18 mm, Montageart: frei im Raum Edelstahloptik",Andere,,,,

1424 654.490.000,"Duschrinne Axor Drain, Breite 100 cm, Fertigset bestehend aus Designabdeckung, Installationsset, Dryphon, Ablaufleitstung 53 l/min, integriertes Gefälle, höhenverstellbar Fliesenstärke 7- 18 mm, Montageart: frei im Raum Edelstahloptik",Andere,,,,

1424 665.490.000,"Duschrinne Axor Drain, Breite 120 cm, Fertigset bestehend aus Designabdeckung, Installationsset, Dryphon, Ablaufleitstung 55 l/min, integriertes Gefälle, höhenverstellbar Fliesenstärke 7- 18 mm, Montageart: wandangebunden Edelstahloptik Preisübersicht Unverbindliche Richtpreise Total61'323.00 geschätzte Transportkosten2'391.65 8.1 % MWSt5'160.88 Rundungsdifferenz0.02 Gesamtbetrag inkl. MwSt. in CHF 68'875.55 Preisänderung vorbehalten Unverbindliche Richtpreise Bei den Preisangaben handelt es sich um unverbindliche Richtpreise. Auf diese unverbindlichen Richtpreise gibt Sanitas Troesch den Installateur-Unternehmen individuelle Einkaufsrabatte. Die unverbindlichen Richtpreise sind für Installateur-Unternehmen nicht bindend. Die Installateur-Unternehmen legen die Verkaufspreise an ihre Kunden vollkommen frei und im eigenen Ermessen fest.",Andere,,,,
