"Urinal Beschreibung";"Urinal GTIN";"Unsere Art-Nr";"Element Art-Nr";"Element GTIN";"Element Beschreibung"
"Urinal Tamina, standard";"4025416696094";"";"3612 404";"4064746030895";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für integrierte Steuerung, für Urinoirs Preda / Selva"
"Urinal Tamina, standard";"4025416696018";"3421 221";"3612 407";"4064746030970";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für Urinoirsteuerungen, für Urinoirs Preda / Selva"
"Urinal EluPura Original Q, standard";"4059625478202";"";"3612 407";"4064746030970";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für Urinoirsteuerungen, für Urinoirs Preda / Selva"
"Urinal EluPura Original Q, SmartClean";"4059625536582";"";"3612 407";"4064746030970";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für Urinoirsteuerungen, für Urinoirs Preda / Selva"
"Urinal EluPura Original Q, HygieneEffect, SmartClean";"4059625478127";"";"3612 407";"4064746030970";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für Urinoirsteuerungen, für Urinoirs Preda / Selva"
"Urinal EluPura Original Q, standard";"4059625478196";"";"";"";""
"Urinal EluPura Original Q, SmartClean";"4059625536599";"";"";"";""
"Urinal EluPura Original Q, HygieneEffect";"4059625478110";"";"";"";""
"Urinal EluPura Original S, standard";"4059625536421";"";"3612 407";"4064746030970";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für Urinoirsteuerungen, für Urinoirs Preda / Selva"
"Urinal EluPura Original S, SmartClean";"4059625536445";"";"3612 407";"4064746030970";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für Urinoirsteuerungen, für Urinoirs Preda / Selva"
"Urinal EluPura Original S, HygieneEffect";"4059625536438";"";"3612 407";"4064746030970";"Urinoirelement Geberit- Duofix, Montagerahmen, Füsse verstellbar, Wasseranschluss ½"", Breite 50 cm, Höhe 112 - 130 cm, für Urinoirsteuerungen, für Urinoirs Preda / Selva"
"Urinal EluPura Original S, standard";"4059625536452";"";"";"";""
"Urinal EluPura Original S, SmartClean";"4059625536476";"";"";"";""
"Urinal EluPura Original S, HygieneEffect";"4059625536469";"";"";"";""
