ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1313 137.100.183,"Duschwanne Kaldewei Duschplan, 90 x 120 x 6,5 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts, 90 x 120 x 6.5 cm Umweltdeklaration EPD Weiss Gleitschutz Antislip",Kaldewei,120 x 6.5,,,

1313 416.100.000,"Duschwanne Kaldewei Cayonoplan, 80 x 140 x 2,5 cm, Stahl, Schallisolierung Weiss",Kaldewei,140 x 2.5,,,

1313 566.100.000,"Duschwanne Kaldewei Superplan Zero, 80 x 90 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 2,,,

1313 173.100.185,"Duschwanne Kaldewei Calima, 1400 x 700 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 478.100.185,"Duschwanne Kaldewei Cayonoplan, 100 x 130 x 2,5 cm, Stahl, Schallisolierung Weiss Gleitschutz Invisible Grip",Kaldewei,130 x 2.5,,,

1313 409.100.000,"Duschwanne Kaldewei Cayonoplan, 75 x 110 x 1,8 cm, Stahl, Schallisolierung Weiss",Kaldewei,110 x 1.8,,,

1313 158.100.185,"Duschwanne Kaldewei Calima, 1000 x 900 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 253.100.000,"Duschwanne Kaldewei Conoflat, 90 x 130 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,130 x 3.2,,,

1313 422.100.184,"Duschwanne Kaldewei Cayonoplan, 90 x 150 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,150 x 2.5,,,

